#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
296972:5837,06/16/17 02:13:12,230,165,0.029138771,0.020646299
296976:5837,06/16/17 03:42:17,185,169,0.021483747,0.018108745
296977:5837,06/16/17 04:53:51,537,529,0.052780107,0.051170234
296978:5837,06/16/17 08:22:29,158,147,0.014302794,0.013078335
296979:5837,06/16/17 09:23:49,26,19,0.002250551,0.001073852
296980:5837,06/16/17 09:33:36,151,151,0.012962985,0.012322335
296991:5838,06/16/17 12:34:01,69,0,0.005100059,0
297001:5838,06/16/17 13:00:25,12,4,0.001980920,0.000000009
297002:5838,06/16/17 13:04:51,10,3,0.001637906,0.000000011
297003:5838,06/16/17 13:08:26,75,60,0.011951760,0.009148508
